
2025-06-15T08:57:50.322871,4,2.0,43.9,"Workout completed!
Reps: 4
Calories: 2.0
Duration: 43.9s"
2025-06-15T09:00:55.384935,26,13.0,52.6,"Workout completed!
Reps: 26
Calories: 13.0
Duration: 52.6s"
2025-06-15 09:01:56,3,3.60,25.7
2025-06-15T09:29:35.108559,0,0.1,12.0,"Workout completed!
Reps: 0
Calories: 0.1
Duration: 12.0s"
2025-06-15T10:39:44.423005,2,1.0,16.4,"Workout completed!
Reps: 6
Calories: 3.0
Duration: 15.2s"
2025-06-15T21:11:53.356459,1,0.4,12.0,"Workout completed!
Reps: 1
Calories: 0.4
Duration: 12.0s"
2025-06-18T06:46:40.521408,2,0.7,25.7,"Workout completed!
Reps: 2
Calories: 0.7
Duration: 25.7s"
2025-06-18T06:47:25.230274,4,2.0,18.3,"Workout completed!
Reps: 4
Calories: 2.0
Duration: 18.3s"
2025-06-18T06:57:28.878064,1,0.5,6.5,"Workout completed!
Reps: 1
Calories: 0.5
Duration: 6.5s"
2025-06-18T06:58:23.993403,2,0.7,12.0,"Workout completed!
Reps: 2
Calories: 0.7
Duration: 12.0s"
2025-06-18T07:00:39.543026,1,0.4,12.0,"Workout completed!
Reps: 1
Calories: 0.4
Duration: 12.0s"
2025-06-18T07:01:34.625786,3,1.0,12.0,"Workout completed!
Reps: 3
Calories: 1.0
Duration: 12.0s"
2025-06-18T07:02:53.057071,3,1.5,23.2,"Workout completed!
Reps: 3
Calories: 1.5
Duration: 23.2s"
2025-06-18T07:03:13.735706,1,0.4,12.0,"Workout completed!
Reps: 1
Calories: 0.4
Duration: 12.0s"
2025-06-18T07:05:34.740864,2,0.7,12.0,"Workout completed!
Reps: 2
Calories: 0.7
Duration: 12.0s"
2025-06-18T07:06:17.695108,4,2.0,18.9,"Workout completed!
Reps: 4
Calories: 2.0
Duration: 18.9s"
2025-06-18T07:07:38.916127,2,1.0,13.7,"Workout completed!
Reps: 2
Calories: 1.0
Duration: 13.7s"
2025-06-18T07:08:16.558156,0,0.0,7.1,"Workout completed!
Reps: 0
Calories: 0.0
Duration: 7.1s"
2025-06-18T07:08:51.076365,4,2.0,12.8,"Workout completed!
Reps: 4
Calories: 2.0
Duration: 12.8s"

2025-06-18T17:37:12.136061,1,0.3,8.5,"Workout completed!
Reps: 1
Calories: 0.3
Duration: 8.5s"
2025-06-18T17:38:10.770745,3,1.5,20.4,"Workout completed!
Reps: 3
Calories: 1.5
Duration: 20.4s"
